date,category,description,amount
2025-01-01,assinaturas,Restaurante,198.35
2025-01-02,saude,Mercado,173.73
2025-01-03,assinaturas,Compra,445.42
2025-01-04,lazer,Restaurante,435.25
2025-01-05,transporte,Mercado,89.41
2025-01-06,saude,Taxi/Uber,426.27
2025-01-07,lazer,Restaurante,313.06
2025-01-08,transporte,Restaurante,186.94
2025-01-09,lazer,Assinatura mensal,334.14
2025-01-10,mercado,Restaurante,405.56
2025-01-11,alimentacao,Assinatura mensal,85.16
2025-01-12,alimentacao,Mercado,92.21
2025-01-13,alimentacao,Mercado,186.88
2025-01-14,mercado,Compra,80.3
2025-01-15,saude,Taxi/Uber,165.38
2025-01-16,saude,Assinatura mensal,292.33
2025-01-17,mercado,Compra,366.7
2025-01-18,alimentacao,Farmácia,139.36
2025-01-19,alimentacao,Compra,130.37
2025-01-20,transporte,Mercado,351.99
2025-01-21,transporte,Farmácia,174.56
2025-01-22,assinaturas,Compra,369.22
2025-01-23,lazer,Restaurante,447.05
2025-01-24,transporte,Taxi/Uber,440.95
2025-01-25,transporte,Assinatura mensal,299.9
2025-01-26,transporte,Restaurante,171.97
2025-01-27,transporte,Farmácia,34.14
2025-01-28,mercado,Taxi/Uber,333.43
2025-01-29,assinaturas,Compra,440.2
2025-01-30,transporte,Restaurante,35.25
2025-01-31,saude,Mercado,7.74
2025-02-01,lazer,Mercado,375.14
2025-02-02,transporte,Taxi/Uber,50.51
2025-02-03,mercado,Mercado,41.32
2025-02-04,saude,Assinatura mensal,410.1
2025-02-05,alimentacao,Taxi/Uber,40.4
2025-02-06,alimentacao,Taxi/Uber,55.74
2025-02-07,assinaturas,Mercado,258.46
2025-02-08,alimentacao,Taxi/Uber,341.78
2025-02-09,transporte,Compra,182.81
2025-02-10,mercado,Farmácia,192.16
2025-02-11,assinaturas,Restaurante,286.52
2025-02-12,saude,Farmácia,229.91
2025-02-13,transporte,Restaurante,13.29
2025-02-14,alimentacao,Mercado,55.54
2025-02-15,lazer,Assinatura mensal,263.81
2025-02-16,transporte,Assinatura mensal,358.18
2025-02-17,lazer,Mercado,344.58
2025-02-18,saude,Mercado,334.33
2025-02-19,lazer,Taxi/Uber,348.22
2025-02-20,saude,Assinatura mensal,24.78
2025-02-21,assinaturas,Farmácia,403.32
2025-02-22,mercado,Mercado,400.73
2025-02-23,alimentacao,Farmácia,241.71
2025-02-24,alimentacao,Restaurante,115.62
2025-02-25,transporte,Farmácia,268.52
2025-02-26,alimentacao,Assinatura mensal,253.26
2025-02-27,assinaturas,Restaurante,104.22
2025-02-28,alimentacao,Farmácia,273.39
2025-03-01,transporte,Taxi/Uber,359.8
2025-03-02,alimentacao,Taxi/Uber,363.72
2025-03-03,mercado,Assinatura mensal,31.57
2025-03-04,saude,Taxi/Uber,92.74
2025-03-05,lazer,Mercado,302.36
2025-03-06,lazer,Restaurante,387.63
2025-03-07,saude,Assinatura mensal,236.94
2025-03-08,lazer,Restaurante,319.85
2025-03-09,mercado,Farmácia,14.38
2025-03-10,assinaturas,Mercado,275.75
2025-03-11,transporte,Assinatura mensal,433.05
2025-03-12,mercado,Farmácia,299.15
2025-03-13,transporte,Farmácia,415.41
2025-03-14,assinaturas,Farmácia,256.87
2025-03-15,mercado,Farmácia,380.3
2025-03-16,alimentacao,Farmácia,60.25
2025-03-17,assinaturas,Assinatura mensal,59.96
2025-03-18,lazer,Taxi/Uber,58.48
2025-03-19,mercado,Farmácia,222.54
2025-03-20,assinaturas,Mercado,151.97
2025-03-21,assinaturas,Assinatura mensal,325.04
2025-03-22,mercado,Compra,406.67
2025-03-23,lazer,Taxi/Uber,280.62
2025-03-24,saude,Mercado,99.88
2025-03-25,lazer,Farmácia,419.24
2025-03-26,assinaturas,Assinatura mensal,239.9
2025-03-27,transporte,Assinatura mensal,325.38
2025-03-28,saude,Farmácia,401.28
2025-03-29,saude,Mercado,445.48
2025-03-30,assinaturas,Assinatura mensal,230.2
2025-03-31,mercado,Restaurante,364.59
2025-04-01,mercado,Taxi/Uber,257.26
2025-04-02,mercado,Mercado,221.47
2025-04-03,lazer,Farmácia,244.28
2025-04-04,alimentacao,Mercado,220.5
2025-04-05,mercado,Restaurante,192.36
2025-04-06,mercado,Mercado,327.06
2025-04-07,saude,Compra,116.11
2025-04-08,transporte,Farmácia,279.29
2025-04-09,transporte,Taxi/Uber,322.27
2025-04-10,assinaturas,Farmácia,401.98
2025-04-11,assinaturas,Compra,152.69
2025-04-12,assinaturas,Farmácia,387.97
2025-04-13,mercado,Farmácia,425.65
2025-04-14,transporte,Taxi/Uber,293.66
2025-04-15,assinaturas,Compra,348.29
2025-04-16,transporte,Farmácia,185.54
2025-04-17,mercado,Restaurante,428.7
2025-04-18,saude,Farmácia,303.53
2025-04-19,mercado,Assinatura mensal,143.02
2025-04-20,assinaturas,Farmácia,184.9
2025-04-21,mercado,Taxi/Uber,279.9
2025-04-22,mercado,Assinatura mensal,109.19
2025-04-23,transporte,Restaurante,340.49
2025-04-24,alimentacao,Restaurante,104.99
2025-04-25,lazer,Restaurante,268.35
2025-04-26,assinaturas,Compra,315.17
2025-04-27,alimentacao,Restaurante,387.59
2025-04-28,saude,Mercado,331.59
2025-04-29,assinaturas,Taxi/Uber,360.48
2025-04-30,alimentacao,Compra,411.25
2025-05-01,mercado,Assinatura mensal,271.01
2025-05-02,assinaturas,Mercado,381.59
2025-05-03,alimentacao,Compra,108.18
2025-05-04,lazer,Taxi/Uber,367.56
2025-05-05,mercado,Assinatura mensal,103.65
2025-05-06,assinaturas,Taxi/Uber,420.91
2025-05-07,saude,Taxi/Uber,151.84
2025-05-08,saude,Assinatura mensal,81.47
2025-05-09,assinaturas,Restaurante,70.94
2025-05-10,alimentacao,Farmácia,88.34
2025-05-11,assinaturas,Taxi/Uber,204.16
2025-05-12,mercado,Restaurante,237.36
2025-05-13,transporte,Assinatura mensal,411.63
2025-05-14,saude,Taxi/Uber,174.55
2025-05-15,alimentacao,Farmácia,101.78
2025-05-16,lazer,Assinatura mensal,336.0
2025-05-17,assinaturas,Compra,64.92
2025-05-18,mercado,Compra,402.07
2025-05-19,assinaturas,Restaurante,187.18
2025-05-20,lazer,Compra,278.16
2025-05-21,mercado,Mercado,87.85
2025-05-22,lazer,Taxi/Uber,69.76
2025-05-23,mercado,Taxi/Uber,360.48
2025-05-24,transporte,Assinatura mensal,196.22
2025-05-25,saude,Mercado,444.1
2025-05-26,mercado,Taxi/Uber,238.31
2025-05-27,lazer,Assinatura mensal,381.32
2025-05-28,alimentacao,Farmácia,441.08
2025-05-29,saude,Taxi/Uber,130.11
2025-05-30,transporte,Restaurante,361.39
2025-05-31,assinaturas,Taxi/Uber,14.79
2025-06-01,transporte,Farmácia,307.49
2025-06-02,transporte,Farmácia,336.61
2025-06-03,assinaturas,Taxi/Uber,217.43
2025-06-04,mercado,Farmácia,77.14
2025-06-05,transporte,Assinatura mensal,279.44
2025-06-06,saude,Taxi/Uber,404.4
2025-06-07,transporte,Taxi/Uber,419.44
2025-06-08,alimentacao,Compra,337.02
2025-06-09,saude,Restaurante,122.35
2025-06-10,alimentacao,Taxi/Uber,392.3
2025-06-11,saude,Compra,400.53
2025-06-12,lazer,Farmácia,168.42
2025-06-13,assinaturas,Restaurante,86.43
2025-06-14,saude,Restaurante,394.22
2025-06-15,saude,Farmácia,398.87
2025-06-16,mercado,Assinatura mensal,49.9
