task_label,project,started_at,ended_at,duration_minutes
pesquisa,Trabalho,2025-01-01 00:00:00,2025-01-01 01:50:00,110
codando,Portfolio,2025-01-01 00:30:00,2025-01-01 03:13:00,163
pesquisa,Estudos,2025-01-01 01:00:00,2025-01-01 03:03:00,123
pesquisa,Trabalho,2025-01-01 01:30:00,2025-01-01 01:52:00,22
deep_work,Trabalho,2025-01-01 02:00:00,2025-01-01 03:11:00,71
deep_work,Portfolio,2025-01-01 02:30:00,2025-01-01 04:40:00,130
deep_work,Portfolio,2025-01-01 03:00:00,2025-01-01 04:01:00,61
codando,Consultoria,2025-01-01 03:30:00,2025-01-01 05:59:00,149
foco,Financeiro pessoal,2025-01-01 04:00:00,2025-01-01 04:58:00,58
reuniao,Trabalho,2025-01-01 04:30:00,2025-01-01 05:35:00,65
codando,Financeiro pessoal,2025-01-01 05:00:00,2025-01-01 06:07:00,67
deep_work,Portfolio,2025-01-01 05:30:00,2025-01-01 06:16:00,46
pesquisa,Portfolio,2025-01-01 06:00:00,2025-01-01 06:34:00,34
codando,Consultoria,2025-01-01 06:30:00,2025-01-01 06:56:00,26
pesquisa,Estudos,2025-01-01 07:00:00,2025-01-01 09:08:00,128
pesquisa,Portfolio,2025-01-01 07:30:00,2025-01-01 08:31:00,61
pesquisa,Trabalho,2025-01-01 08:00:00,2025-01-01 08:28:00,28
admin,Consultoria,2025-01-01 08:30:00,2025-01-01 10:34:00,124
foco,Estudos,2025-01-01 09:00:00,2025-01-01 11:33:00,153
reuniao,Consultoria,2025-01-01 09:30:00,2025-01-01 11:05:00,95
reuniao,Portfolio,2025-01-01 10:00:00,2025-01-01 10:49:00,49
deep_work,Estudos,2025-01-01 10:30:00,2025-01-01 12:13:00,103
admin,Financeiro pessoal,2025-01-01 11:00:00,2025-01-01 13:25:00,145
codando,Estudos,2025-01-01 11:30:00,2025-01-01 13:13:00,103
codando,Trabalho,2025-01-01 12:00:00,2025-01-01 13:13:00,73
reuniao,Financeiro pessoal,2025-01-01 12:30:00,2025-01-01 14:39:00,129
foco,Financeiro pessoal,2025-01-01 13:00:00,2025-01-01 13:46:00,46
pesquisa,Trabalho,2025-01-01 13:30:00,2025-01-01 15:13:00,103
deep_work,Financeiro pessoal,2025-01-01 14:00:00,2025-01-01 14:26:00,26
foco,Portfolio,2025-01-01 14:30:00,2025-01-01 16:33:00,123
reuniao,Estudos,2025-01-01 15:00:00,2025-01-01 16:31:00,91
admin,Estudos,2025-01-01 15:30:00,2025-01-01 15:51:00,21
deep_work,Trabalho,2025-01-01 16:00:00,2025-01-01 18:41:00,161
reuniao,Portfolio,2025-01-01 16:30:00,2025-01-01 19:07:00,157
codando,Financeiro pessoal,2025-01-01 17:00:00,2025-01-01 18:09:00,69
deep_work,Estudos,2025-01-01 17:30:00,2025-01-01 20:15:00,165
reuniao,Estudos,2025-01-01 18:00:00,2025-01-01 18:37:00,37
codando,Estudos,2025-01-01 18:30:00,2025-01-01 19:05:00,35
codando,Estudos,2025-01-01 19:00:00,2025-01-01 20:11:00,71
pesquisa,Consultoria,2025-01-01 19:30:00,2025-01-01 22:28:00,178
admin,Trabalho,2025-01-01 20:00:00,2025-01-01 21:43:00,103
pesquisa,Financeiro pessoal,2025-01-01 20:30:00,2025-01-01 23:20:00,170
reuniao,Financeiro pessoal,2025-01-01 21:00:00,2025-01-01 22:55:00,115
foco,Trabalho,2025-01-01 21:30:00,2025-01-01 22:31:00,61
pesquisa,Portfolio,2025-01-01 22:00:00,2025-01-02 00:12:00,132
foco,Trabalho,2025-01-01 22:30:00,2025-01-02 00:53:00,143
codando,Estudos,2025-01-01 23:00:00,2025-01-01 23:34:00,34
reuniao,Estudos,2025-01-01 23:30:00,2025-01-02 01:19:00,109
admin,Trabalho,2025-01-02 00:00:00,2025-01-02 01:01:00,61
foco,Trabalho,2025-01-02 00:30:00,2025-01-02 01:34:00,64
reuniao,Financeiro pessoal,2025-01-02 01:00:00,2025-01-02 02:53:00,113
foco,Financeiro pessoal,2025-01-02 01:30:00,2025-01-02 03:36:00,126
pesquisa,Consultoria,2025-01-02 02:00:00,2025-01-02 02:41:00,41
reuniao,Consultoria,2025-01-02 02:30:00,2025-01-02 04:57:00,147
pesquisa,Estudos,2025-01-02 03:00:00,2025-01-02 03:57:00,57
deep_work,Consultoria,2025-01-02 03:30:00,2025-01-02 05:26:00,116
reuniao,Consultoria,2025-01-02 04:00:00,2025-01-02 06:00:00,120
foco,Portfolio,2025-01-02 04:30:00,2025-01-02 04:56:00,26
deep_work,Trabalho,2025-01-02 05:00:00,2025-01-02 06:03:00,63
pesquisa,Financeiro pessoal,2025-01-02 05:30:00,2025-01-02 07:05:00,95
pesquisa,Consultoria,2025-01-02 06:00:00,2025-01-02 06:26:00,26
foco,Financeiro pessoal,2025-01-02 06:30:00,2025-01-02 07:49:00,79
deep_work,Consultoria,2025-01-02 07:00:00,2025-01-02 07:20:00,20
codando,Consultoria,2025-01-02 07:30:00,2025-01-02 08:51:00,81
admin,Estudos,2025-01-02 08:00:00,2025-01-02 09:46:00,106
foco,Portfolio,2025-01-02 08:30:00,2025-01-02 10:18:00,108
pesquisa,Trabalho,2025-01-02 09:00:00,2025-01-02 09:37:00,37
reuniao,Trabalho,2025-01-02 09:30:00,2025-01-02 11:37:00,127
deep_work,Estudos,2025-01-02 10:00:00,2025-01-02 12:34:00,154
codando,Estudos,2025-01-02 10:30:00,2025-01-02 12:44:00,134
admin,Trabalho,2025-01-02 11:00:00,2025-01-02 12:13:00,73
reuniao,Trabalho,2025-01-02 11:30:00,2025-01-02 12:56:00,86
deep_work,Portfolio,2025-01-02 12:00:00,2025-01-02 13:52:00,112
codando,Consultoria,2025-01-02 12:30:00,2025-01-02 15:07:00,157
foco,Portfolio,2025-01-02 13:00:00,2025-01-02 14:18:00,78
codando,Trabalho,2025-01-02 13:30:00,2025-01-02 14:58:00,88
foco,Consultoria,2025-01-02 14:00:00,2025-01-02 15:57:00,117
deep_work,Trabalho,2025-01-02 14:30:00,2025-01-02 14:57:00,27
codando,Portfolio,2025-01-02 15:00:00,2025-01-02 16:14:00,74
admin,Portfolio,2025-01-02 15:30:00,2025-01-02 18:03:00,153
codando,Portfolio,2025-01-02 16:00:00,2025-01-02 18:28:00,148
deep_work,Consultoria,2025-01-02 16:30:00,2025-01-02 17:45:00,75
reuniao,Financeiro pessoal,2025-01-02 17:00:00,2025-01-02 19:03:00,123
reuniao,Financeiro pessoal,2025-01-02 17:30:00,2025-01-02 19:43:00,133
codando,Trabalho,2025-01-02 18:00:00,2025-01-02 19:47:00,107
codando,Consultoria,2025-01-02 18:30:00,2025-01-02 21:07:00,157
foco,Estudos,2025-01-02 19:00:00,2025-01-02 21:07:00,127
deep_work,Financeiro pessoal,2025-01-02 19:30:00,2025-01-02 20:12:00,42
foco,Consultoria,2025-01-02 20:00:00,2025-01-02 22:43:00,163
admin,Consultoria,2025-01-02 20:30:00,2025-01-02 22:30:00,120
reuniao,Financeiro pessoal,2025-01-02 21:00:00,2025-01-02 23:43:00,163
pesquisa,Consultoria,2025-01-02 21:30:00,2025-01-02 22:45:00,75
pesquisa,Consultoria,2025-01-02 22:00:00,2025-01-03 00:07:00,127
deep_work,Financeiro pessoal,2025-01-02 22:30:00,2025-01-03 00:24:00,114
deep_work,Portfolio,2025-01-02 23:00:00,2025-01-02 23:25:00,25
pesquisa,Trabalho,2025-01-02 23:30:00,2025-01-03 00:19:00,49
deep_work,Estudos,2025-01-03 00:00:00,2025-01-03 02:28:00,148
reuniao,Trabalho,2025-01-03 00:30:00,2025-01-03 01:40:00,70
admin,Portfolio,2025-01-03 01:00:00,2025-01-03 03:05:00,125
admin,Portfolio,2025-01-03 01:30:00,2025-01-03 03:18:00,108
foco,Consultoria,2025-01-03 02:00:00,2025-01-03 04:26:00,146
reuniao,Trabalho,2025-01-03 02:30:00,2025-01-03 03:35:00,65
deep_work,Portfolio,2025-01-03 03:00:00,2025-01-03 05:20:00,140
deep_work,Trabalho,2025-01-03 03:30:00,2025-01-03 06:18:00,168
