id,title,category,completed_at,duration_minutes
1,Limpar casa,pessoal,2025-01-01 00:00:00,87
2,Projeto pessoal,profissional,2025-01-01 01:00:00,89
3,Revisar código,saude,2025-01-01 02:00:00,68
4,Codar app,profissional,2025-01-01 03:00:00,58
5,Limpar casa,saude,2025-01-01 04:00:00,72
6,Academia,saude,2025-01-01 05:00:00,71
7,Limpar casa,estudos,2025-01-01 06:00:00,116
8,Revisar código,estudos,2025-01-01 07:00:00,58
9,Codar app,profissional,2025-01-01 08:00:00,60
10,Projeto pessoal,pessoal,2025-01-01 09:00:00,42
11,Revisar código,profissional,2025-01-01 10:00:00,39
12,Revisar código,saude,2025-01-01 11:00:00,68
13,Academia,estudos,2025-01-01 12:00:00,85
14,Escrever artigo,profissional,2025-01-01 13:00:00,24
15,Codar app,profissional,2025-01-01 14:00:00,91
16,Reunião,estudos,2025-01-01 15:00:00,101
17,Revisar código,estudos,2025-01-01 16:00:00,32
18,Escrever artigo,estudos,2025-01-01 17:00:00,87
19,Reunião,saude,2025-01-01 18:00:00,103
20,Codar app,estudos,2025-01-01 19:00:00,106
21,Estudar IA,pessoal,2025-01-01 20:00:00,54
22,Escrever artigo,profissional,2025-01-01 21:00:00,71
23,Planejar semana,estudos,2025-01-01 22:00:00,88
24,Estudar IA,estudos,2025-01-01 23:00:00,80
25,Academia,saude,2025-01-02 00:00:00,24
26,Limpar casa,saude,2025-01-02 01:00:00,115
27,Projeto pessoal,profissional,2025-01-02 02:00:00,55
28,Planejar semana,pessoal,2025-01-02 03:00:00,73
29,Academia,profissional,2025-01-02 04:00:00,111
30,Codar app,estudos,2025-01-02 05:00:00,55
31,Academia,pessoal,2025-01-02 06:00:00,65
32,Limpar casa,pessoal,2025-01-02 07:00:00,53
33,Codar app,pessoal,2025-01-02 08:00:00,84
34,Planejar semana,pessoal,2025-01-02 09:00:00,38
35,Limpar casa,profissional,2025-01-02 10:00:00,104
36,Reunião,saude,2025-01-02 11:00:00,71
37,Projeto pessoal,saude,2025-01-02 12:00:00,98
38,Planejar semana,estudos,2025-01-02 13:00:00,61
39,Reunião,saude,2025-01-02 14:00:00,63
40,Planejar semana,saude,2025-01-02 15:00:00,97
41,Codar app,saude,2025-01-02 16:00:00,66
42,Reunião,saude,2025-01-02 17:00:00,92
43,Projeto pessoal,estudos,2025-01-02 18:00:00,75
44,Limpar casa,profissional,2025-01-02 19:00:00,31
45,Revisar código,pessoal,2025-01-02 20:00:00,29
46,Academia,saude,2025-01-02 21:00:00,42
47,Estudar IA,profissional,2025-01-02 22:00:00,81
48,Projeto pessoal,saude,2025-01-02 23:00:00,34
49,Reunião,saude,2025-01-03 00:00:00,55
50,Revisar código,pessoal,2025-01-03 01:00:00,82
51,Projeto pessoal,pessoal,2025-01-03 02:00:00,107
52,Reunião,pessoal,2025-01-03 03:00:00,66
53,Escrever artigo,saude,2025-01-03 04:00:00,96
54,Escrever artigo,saude,2025-01-03 05:00:00,14
55,Projeto pessoal,saude,2025-01-03 06:00:00,64
56,Escrever artigo,pessoal,2025-01-03 07:00:00,70
57,Reunião,estudos,2025-01-03 08:00:00,98
58,Reunião,profissional,2025-01-03 09:00:00,17
59,Projeto pessoal,estudos,2025-01-03 10:00:00,25
60,Revisar código,saude,2025-01-03 11:00:00,57
61,Limpar casa,saude,2025-01-03 12:00:00,118
62,Planejar semana,estudos,2025-01-03 13:00:00,70
63,Revisar código,saude,2025-01-03 14:00:00,24
64,Codar app,profissional,2025-01-03 15:00:00,74
65,Reunião,saude,2025-01-03 16:00:00,31
66,Codar app,profissional,2025-01-03 17:00:00,12
67,Revisar código,estudos,2025-01-03 18:00:00,111
68,Planejar semana,estudos,2025-01-03 19:00:00,63
69,Planejar semana,saude,2025-01-03 20:00:00,23
70,Estudar IA,profissional,2025-01-03 21:00:00,45
71,Planejar semana,saude,2025-01-03 22:00:00,91
72,Limpar casa,pessoal,2025-01-03 23:00:00,114
73,Planejar semana,pessoal,2025-01-04 00:00:00,91
74,Revisar código,pessoal,2025-01-04 01:00:00,76
75,Estudar IA,pessoal,2025-01-04 02:00:00,19
76,Revisar código,saude,2025-01-04 03:00:00,58
77,Revisar código,pessoal,2025-01-04 04:00:00,112
78,Academia,profissional,2025-01-04 05:00:00,74
79,Estudar IA,estudos,2025-01-04 06:00:00,100
80,Revisar código,estudos,2025-01-04 07:00:00,66
81,Academia,pessoal,2025-01-04 08:00:00,36
82,Academia,pessoal,2025-01-04 09:00:00,84
83,Estudar IA,pessoal,2025-01-04 10:00:00,14
84,Codar app,saude,2025-01-04 11:00:00,80
85,Limpar casa,estudos,2025-01-04 12:00:00,92
86,Planejar semana,pessoal,2025-01-04 13:00:00,66
87,Limpar casa,profissional,2025-01-04 14:00:00,102
88,Planejar semana,pessoal,2025-01-04 15:00:00,24
89,Revisar código,estudos,2025-01-04 16:00:00,108
90,Reunião,pessoal,2025-01-04 17:00:00,110
91,Estudar IA,estudos,2025-01-04 18:00:00,85
92,Limpar casa,pessoal,2025-01-04 19:00:00,39
93,Limpar casa,profissional,2025-01-04 20:00:00,29
94,Revisar código,pessoal,2025-01-04 21:00:00,46
95,Codar app,profissional,2025-01-04 22:00:00,12
96,Academia,profissional,2025-01-04 23:00:00,82
97,Revisar código,pessoal,2025-01-05 00:00:00,50
98,Escrever artigo,profissional,2025-01-05 01:00:00,48
99,Academia,saude,2025-01-05 02:00:00,35
100,Estudar IA,pessoal,2025-01-05 03:00:00,11
101,Academia,pessoal,2025-01-05 04:00:00,32
102,Codar app,profissional,2025-01-05 05:00:00,32
103,Academia,profissional,2025-01-05 06:00:00,94
104,Estudar IA,pessoal,2025-01-05 07:00:00,25
105,Codar app,saude,2025-01-05 08:00:00,18
106,Limpar casa,profissional,2025-01-05 09:00:00,22
107,Limpar casa,profissional,2025-01-05 10:00:00,37
108,Planejar semana,estudos,2025-01-05 11:00:00,36
109,Academia,saude,2025-01-05 12:00:00,60
110,Limpar casa,saude,2025-01-05 13:00:00,73
111,Estudar IA,pessoal,2025-01-05 14:00:00,61
112,Projeto pessoal,saude,2025-01-05 15:00:00,90
113,Projeto pessoal,pessoal,2025-01-05 16:00:00,47
114,Codar app,estudos,2025-01-05 17:00:00,109
115,Limpar casa,saude,2025-01-05 18:00:00,74
116,Limpar casa,profissional,2025-01-05 19:00:00,27
117,Projeto pessoal,estudos,2025-01-05 20:00:00,72
118,Limpar casa,pessoal,2025-01-05 21:00:00,60
119,Academia,estudos,2025-01-05 22:00:00,18
120,Escrever artigo,pessoal,2025-01-05 23:00:00,22
121,Reunião,estudos,2025-01-06 00:00:00,49
122,Planejar semana,pessoal,2025-01-06 01:00:00,64
123,Codar app,saude,2025-01-06 02:00:00,118
124,Escrever artigo,profissional,2025-01-06 03:00:00,88
125,Projeto pessoal,pessoal,2025-01-06 04:00:00,52
126,Limpar casa,estudos,2025-01-06 05:00:00,53
127,Planejar semana,pessoal,2025-01-06 06:00:00,119
128,Limpar casa,pessoal,2025-01-06 07:00:00,77
129,Estudar IA,pessoal,2025-01-06 08:00:00,42
130,Estudar IA,estudos,2025-01-06 09:00:00,33
131,Planejar semana,profissional,2025-01-06 10:00:00,45
132,Planejar semana,saude,2025-01-06 11:00:00,114
133,Projeto pessoal,profissional,2025-01-06 12:00:00,19
134,Planejar semana,pessoal,2025-01-06 13:00:00,109
135,Academia,estudos,2025-01-06 14:00:00,29
136,Limpar casa,profissional,2025-01-06 15:00:00,114
137,Escrever artigo,pessoal,2025-01-06 16:00:00,118
138,Revisar código,saude,2025-01-06 17:00:00,117
139,Planejar semana,saude,2025-01-06 18:00:00,84
140,Codar app,saude,2025-01-06 19:00:00,21
141,Estudar IA,pessoal,2025-01-06 20:00:00,71
142,Academia,estudos,2025-01-06 21:00:00,27
143,Revisar código,profissional,2025-01-06 22:00:00,103
144,Escrever artigo,saude,2025-01-06 23:00:00,117
145,Revisar código,pessoal,2025-01-07 00:00:00,110
146,Planejar semana,pessoal,2025-01-07 01:00:00,72
147,Projeto pessoal,profissional,2025-01-07 02:00:00,93
148,Estudar IA,saude,2025-01-07 03:00:00,34
149,Estudar IA,pessoal,2025-01-07 04:00:00,21
150,Projeto pessoal,profissional,2025-01-07 05:00:00,30
151,Limpar casa,estudos,2025-01-07 06:00:00,34
152,Reunião,estudos,2025-01-07 07:00:00,20
153,Academia,estudos,2025-01-07 08:00:00,73
154,Estudar IA,saude,2025-01-07 09:00:00,82
155,Codar app,profissional,2025-01-07 10:00:00,59
156,Estudar IA,profissional,2025-01-07 11:00:00,71
157,Revisar código,pessoal,2025-01-07 12:00:00,98
158,Estudar IA,pessoal,2025-01-07 13:00:00,108
159,Estudar IA,pessoal,2025-01-07 14:00:00,105
160,Reunião,profissional,2025-01-07 15:00:00,58
161,Reunião,pessoal,2025-01-07 16:00:00,23
162,Escrever artigo,profissional,2025-01-07 17:00:00,10
163,Limpar casa,profissional,2025-01-07 18:00:00,90
164,Codar app,estudos,2025-01-07 19:00:00,34
165,Estudar IA,pessoal,2025-01-07 20:00:00,68
166,Estudar IA,estudos,2025-01-07 21:00:00,81
167,Academia,saude,2025-01-07 22:00:00,78
168,Reunião,saude,2025-01-07 23:00:00,14
169,Codar app,saude,2025-01-08 00:00:00,114
170,Escrever artigo,profissional,2025-01-08 01:00:00,108
171,Limpar casa,profissional,2025-01-08 02:00:00,28
172,Projeto pessoal,profissional,2025-01-08 03:00:00,32
173,Limpar casa,pessoal,2025-01-08 04:00:00,18
174,Revisar código,estudos,2025-01-08 05:00:00,103
175,Estudar IA,profissional,2025-01-08 06:00:00,59
176,Escrever artigo,estudos,2025-01-08 07:00:00,25
177,Revisar código,estudos,2025-01-08 08:00:00,42
178,Codar app,estudos,2025-01-08 09:00:00,11
179,Projeto pessoal,pessoal,2025-01-08 10:00:00,23
180,Reunião,pessoal,2025-01-08 11:00:00,119
181,Escrever artigo,saude,2025-01-08 12:00:00,10
182,Escrever artigo,saude,2025-01-08 13:00:00,99
183,Estudar IA,estudos,2025-01-08 14:00:00,67
184,Planejar semana,saude,2025-01-08 15:00:00,98
185,Escrever artigo,estudos,2025-01-08 16:00:00,25
186,Academia,pessoal,2025-01-08 17:00:00,88
187,Projeto pessoal,pessoal,2025-01-08 18:00:00,99
188,Projeto pessoal,pessoal,2025-01-08 19:00:00,56
189,Academia,profissional,2025-01-08 20:00:00,53
190,Academia,estudos,2025-01-08 21:00:00,89
191,Academia,pessoal,2025-01-08 22:00:00,23
192,Projeto pessoal,estudos,2025-01-08 23:00:00,102
193,Limpar casa,saude,2025-01-09 00:00:00,33
194,Projeto pessoal,saude,2025-01-09 01:00:00,64
195,Planejar semana,pessoal,2025-01-09 02:00:00,24
196,Estudar IA,estudos,2025-01-09 03:00:00,92
197,Revisar código,pessoal,2025-01-09 04:00:00,81
198,Limpar casa,saude,2025-01-09 05:00:00,43
199,Reunião,pessoal,2025-01-09 06:00:00,11
200,Revisar código,estudos,2025-01-09 07:00:00,36
201,Estudar IA,saude,2025-01-09 08:00:00,83
202,Planejar semana,profissional,2025-01-09 09:00:00,108
203,Planejar semana,saude,2025-01-09 10:00:00,96
204,Reunião,profissional,2025-01-09 11:00:00,81
205,Limpar casa,pessoal,2025-01-09 12:00:00,101
206,Academia,pessoal,2025-01-09 13:00:00,32
207,Limpar casa,estudos,2025-01-09 14:00:00,77
208,Planejar semana,profissional,2025-01-09 15:00:00,23
209,Projeto pessoal,pessoal,2025-01-09 16:00:00,72
210,Estudar IA,profissional,2025-01-09 17:00:00,115
211,Reunião,pessoal,2025-01-09 18:00:00,102
212,Estudar IA,saude,2025-01-09 19:00:00,74
213,Codar app,pessoal,2025-01-09 20:00:00,77
214,Codar app,estudos,2025-01-09 21:00:00,72
215,Limpar casa,saude,2025-01-09 22:00:00,105
216,Planejar semana,estudos,2025-01-09 23:00:00,106
217,Planejar semana,saude,2025-01-10 00:00:00,99
218,Academia,profissional,2025-01-10 01:00:00,90
219,Academia,estudos,2025-01-10 02:00:00,112
220,Academia,pessoal,2025-01-10 03:00:00,96
221,Projeto pessoal,profissional,2025-01-10 04:00:00,73
222,Revisar código,pessoal,2025-01-10 05:00:00,41
223,Escrever artigo,saude,2025-01-10 06:00:00,88
224,Revisar código,saude,2025-01-10 07:00:00,22
225,Estudar IA,pessoal,2025-01-10 08:00:00,75
226,Revisar código,pessoal,2025-01-10 09:00:00,28
227,Projeto pessoal,profissional,2025-01-10 10:00:00,33
228,Estudar IA,pessoal,2025-01-10 11:00:00,118
229,Revisar código,estudos,2025-01-10 12:00:00,97
230,Projeto pessoal,estudos,2025-01-10 13:00:00,20
231,Escrever artigo,pessoal,2025-01-10 14:00:00,68
232,Revisar código,estudos,2025-01-10 15:00:00,95
233,Projeto pessoal,pessoal,2025-01-10 16:00:00,24
234,Academia,profissional,2025-01-10 17:00:00,19
235,Planejar semana,estudos,2025-01-10 18:00:00,50
236,Academia,estudos,2025-01-10 19:00:00,36
237,Planejar semana,pessoal,2025-01-10 20:00:00,69
238,Reunião,estudos,2025-01-10 21:00:00,82
239,Reunião,saude,2025-01-10 22:00:00,61
240,Reunião,profissional,2025-01-10 23:00:00,37
241,Escrever artigo,profissional,2025-01-11 00:00:00,74
242,Academia,estudos,2025-01-11 01:00:00,26
243,Planejar semana,estudos,2025-01-11 02:00:00,104
244,Projeto pessoal,saude,2025-01-11 03:00:00,53
245,Estudar IA,saude,2025-01-11 04:00:00,19
246,Projeto pessoal,estudos,2025-01-11 05:00:00,72
247,Estudar IA,estudos,2025-01-11 06:00:00,110
248,Codar app,saude,2025-01-11 07:00:00,102
249,Projeto pessoal,pessoal,2025-01-11 08:00:00,91
250,Revisar código,saude,2025-01-11 09:00:00,56
251,Revisar código,pessoal,2025-01-11 10:00:00,47
252,Limpar casa,profissional,2025-01-11 11:00:00,112
253,Academia,profissional,2025-01-11 12:00:00,79
254,Estudar IA,saude,2025-01-11 13:00:00,113
255,Estudar IA,pessoal,2025-01-11 14:00:00,85
256,Academia,saude,2025-01-11 15:00:00,62
257,Escrever artigo,saude,2025-01-11 16:00:00,87
258,Limpar casa,pessoal,2025-01-11 17:00:00,53
259,Escrever artigo,saude,2025-01-11 18:00:00,83
260,Escrever artigo,profissional,2025-01-11 19:00:00,63
261,Escrever artigo,estudos,2025-01-11 20:00:00,29
262,Academia,estudos,2025-01-11 21:00:00,88
263,Escrever artigo,saude,2025-01-11 22:00:00,40
264,Revisar código,pessoal,2025-01-11 23:00:00,16
265,Reunião,pessoal,2025-01-12 00:00:00,67
266,Codar app,profissional,2025-01-12 01:00:00,114
267,Estudar IA,pessoal,2025-01-12 02:00:00,19
268,Estudar IA,pessoal,2025-01-12 03:00:00,19
269,Codar app,profissional,2025-01-12 04:00:00,48
270,Academia,saude,2025-01-12 05:00:00,37
271,Projeto pessoal,estudos,2025-01-12 06:00:00,39
272,Academia,profissional,2025-01-12 07:00:00,46
273,Estudar IA,saude,2025-01-12 08:00:00,76
274,Estudar IA,profissional,2025-01-12 09:00:00,52
275,Codar app,saude,2025-01-12 10:00:00,88
276,Escrever artigo,profissional,2025-01-12 11:00:00,94
277,Academia,saude,2025-01-12 12:00:00,61
278,Planejar semana,profissional,2025-01-12 13:00:00,110
279,Codar app,saude,2025-01-12 14:00:00,65
280,Revisar código,profissional,2025-01-12 15:00:00,85
281,Estudar IA,estudos,2025-01-12 16:00:00,77
282,Codar app,estudos,2025-01-12 17:00:00,18
283,Academia,pessoal,2025-01-12 18:00:00,112
284,Estudar IA,saude,2025-01-12 19:00:00,115
285,Projeto pessoal,profissional,2025-01-12 20:00:00,101
286,Codar app,saude,2025-01-12 21:00:00,32
287,Limpar casa,estudos,2025-01-12 22:00:00,72
288,Estudar IA,saude,2025-01-12 23:00:00,118
289,Academia,profissional,2025-01-13 00:00:00,70
290,Reunião,saude,2025-01-13 01:00:00,49
291,Planejar semana,profissional,2025-01-13 02:00:00,53
292,Escrever artigo,estudos,2025-01-13 03:00:00,95
293,Academia,estudos,2025-01-13 04:00:00,33
294,Revisar código,estudos,2025-01-13 05:00:00,60
295,Revisar código,pessoal,2025-01-13 06:00:00,67
296,Reunião,estudos,2025-01-13 07:00:00,99
297,Escrever artigo,saude,2025-01-13 08:00:00,103
298,Limpar casa,pessoal,2025-01-13 09:00:00,42
299,Reunião,estudos,2025-01-13 10:00:00,25
300,Reunião,saude,2025-01-13 11:00:00,31
301,Estudar IA,saude,2025-01-13 12:00:00,66
302,Revisar código,saude,2025-01-13 13:00:00,71
303,Estudar IA,profissional,2025-01-13 14:00:00,116
304,Planejar semana,pessoal,2025-01-13 15:00:00,91
305,Escrever artigo,saude,2025-01-13 16:00:00,80
306,Limpar casa,profissional,2025-01-13 17:00:00,99
307,Limpar casa,estudos,2025-01-13 18:00:00,81
308,Academia,saude,2025-01-13 19:00:00,79
309,Reunião,profissional,2025-01-13 20:00:00,39
310,Planejar semana,saude,2025-01-13 21:00:00,112
311,Revisar código,pessoal,2025-01-13 22:00:00,32
312,Limpar casa,pessoal,2025-01-13 23:00:00,41
313,Planejar semana,estudos,2025-01-14 00:00:00,95
314,Projeto pessoal,saude,2025-01-14 01:00:00,115
315,Projeto pessoal,profissional,2025-01-14 02:00:00,116
316,Estudar IA,estudos,2025-01-14 03:00:00,66
317,Revisar código,saude,2025-01-14 04:00:00,118
318,Academia,estudos,2025-01-14 05:00:00,18
319,Limpar casa,profissional,2025-01-14 06:00:00,40
320,Reunião,estudos,2025-01-14 07:00:00,80
321,Reunião,estudos,2025-01-14 08:00:00,18
322,Limpar casa,estudos,2025-01-14 09:00:00,22
323,Escrever artigo,saude,2025-01-14 10:00:00,67
324,Academia,profissional,2025-01-14 11:00:00,12
325,Planejar semana,pessoal,2025-01-14 12:00:00,44
326,Escrever artigo,saude,2025-01-14 13:00:00,106
327,Escrever artigo,pessoal,2025-01-14 14:00:00,30
328,Estudar IA,pessoal,2025-01-14 15:00:00,73
329,Projeto pessoal,saude,2025-01-14 16:00:00,104
330,Escrever artigo,saude,2025-01-14 17:00:00,61
331,Escrever artigo,profissional,2025-01-14 18:00:00,43
332,Codar app,profissional,2025-01-14 19:00:00,105
333,Estudar IA,estudos,2025-01-14 20:00:00,44
334,Revisar código,pessoal,2025-01-14 21:00:00,24
335,Codar app,profissional,2025-01-14 22:00:00,105
336,Codar app,estudos,2025-01-14 23:00:00,15
337,Limpar casa,profissional,2025-01-15 00:00:00,118
338,Projeto pessoal,saude,2025-01-15 01:00:00,94
339,Escrever artigo,profissional,2025-01-15 02:00:00,106
340,Projeto pessoal,pessoal,2025-01-15 03:00:00,41
341,Academia,profissional,2025-01-15 04:00:00,61
342,Limpar casa,pessoal,2025-01-15 05:00:00,92
343,Revisar código,saude,2025-01-15 06:00:00,106
344,Projeto pessoal,pessoal,2025-01-15 07:00:00,37
345,Reunião,profissional,2025-01-15 08:00:00,104
346,Academia,estudos,2025-01-15 09:00:00,94
347,Estudar IA,saude,2025-01-15 10:00:00,107
348,Revisar código,profissional,2025-01-15 11:00:00,73
349,Academia,saude,2025-01-15 12:00:00,88
350,Limpar casa,saude,2025-01-15 13:00:00,87
351,Codar app,profissional,2025-01-15 14:00:00,28
352,Codar app,profissional,2025-01-15 15:00:00,116
353,Limpar casa,estudos,2025-01-15 16:00:00,24
354,Planejar semana,saude,2025-01-15 17:00:00,15
355,Codar app,saude,2025-01-15 18:00:00,82
356,Estudar IA,profissional,2025-01-15 19:00:00,110
357,Estudar IA,pessoal,2025-01-15 20:00:00,93
358,Reunião,profissional,2025-01-15 21:00:00,107
359,Escrever artigo,saude,2025-01-15 22:00:00,47
360,Planejar semana,profissional,2025-01-15 23:00:00,35
361,Revisar código,estudos,2025-01-16 00:00:00,91
362,Codar app,pessoal,2025-01-16 01:00:00,101
363,Estudar IA,profissional,2025-01-16 02:00:00,60
364,Limpar casa,estudos,2025-01-16 03:00:00,82
365,Codar app,saude,2025-01-16 04:00:00,105
366,Escrever artigo,profissional,2025-01-16 05:00:00,62
367,Limpar casa,saude,2025-01-16 06:00:00,65
368,Academia,estudos,2025-01-16 07:00:00,68
369,Academia,saude,2025-01-16 08:00:00,79
370,Codar app,estudos,2025-01-16 09:00:00,87
371,Escrever artigo,estudos,2025-01-16 10:00:00,101
372,Planejar semana,estudos,2025-01-16 11:00:00,67
373,Codar app,profissional,2025-01-16 12:00:00,97
374,Estudar IA,saude,2025-01-16 13:00:00,22
375,Projeto pessoal,saude,2025-01-16 14:00:00,52
376,Codar app,pessoal,2025-01-16 15:00:00,85
377,Codar app,pessoal,2025-01-16 16:00:00,60
378,Limpar casa,pessoal,2025-01-16 17:00:00,28
379,Projeto pessoal,pessoal,2025-01-16 18:00:00,30
380,Estudar IA,saude,2025-01-16 19:00:00,100
381,Codar app,estudos,2025-01-16 20:00:00,92
382,Limpar casa,estudos,2025-01-16 21:00:00,33
383,Escrever artigo,profissional,2025-01-16 22:00:00,35
384,Codar app,estudos,2025-01-16 23:00:00,54
385,Projeto pessoal,saude,2025-01-17 00:00:00,37
386,Reunião,saude,2025-01-17 01:00:00,119
387,Projeto pessoal,saude,2025-01-17 02:00:00,91
388,Academia,profissional,2025-01-17 03:00:00,117
389,Estudar IA,pessoal,2025-01-17 04:00:00,109
390,Revisar código,estudos,2025-01-17 05:00:00,115
391,Codar app,saude,2025-01-17 06:00:00,38
392,Projeto pessoal,saude,2025-01-17 07:00:00,26
393,Revisar código,pessoal,2025-01-17 08:00:00,77
394,Limpar casa,saude,2025-01-17 09:00:00,53
395,Reunião,estudos,2025-01-17 10:00:00,118
396,Estudar IA,profissional,2025-01-17 11:00:00,70
397,Projeto pessoal,saude,2025-01-17 12:00:00,102
398,Revisar código,estudos,2025-01-17 13:00:00,77
399,Reunião,saude,2025-01-17 14:00:00,83
400,Academia,pessoal,2025-01-17 15:00:00,34
401,Estudar IA,saude,2025-01-17 16:00:00,104
402,Estudar IA,saude,2025-01-17 17:00:00,76
403,Academia,profissional,2025-01-17 18:00:00,11
404,Codar app,pessoal,2025-01-17 19:00:00,98
405,Academia,pessoal,2025-01-17 20:00:00,58
406,Estudar IA,profissional,2025-01-17 21:00:00,79
407,Estudar IA,saude,2025-01-17 22:00:00,35
408,Revisar código,estudos,2025-01-17 23:00:00,81
409,Reunião,pessoal,2025-01-18 00:00:00,108
410,Academia,pessoal,2025-01-18 01:00:00,36
411,Reunião,saude,2025-01-18 02:00:00,98
412,Academia,saude,2025-01-18 03:00:00,27
413,Limpar casa,pessoal,2025-01-18 04:00:00,63
414,Estudar IA,saude,2025-01-18 05:00:00,10
415,Revisar código,estudos,2025-01-18 06:00:00,70
416,Reunião,pessoal,2025-01-18 07:00:00,112
417,Academia,estudos,2025-01-18 08:00:00,12
418,Planejar semana,estudos,2025-01-18 09:00:00,77
419,Limpar casa,saude,2025-01-18 10:00:00,50
420,Projeto pessoal,estudos,2025-01-18 11:00:00,46
421,Codar app,saude,2025-01-18 12:00:00,60
422,Reunião,profissional,2025-01-18 13:00:00,24
423,Revisar código,saude,2025-01-18 14:00:00,17
424,Projeto pessoal,estudos,2025-01-18 15:00:00,47
425,Planejar semana,profissional,2025-01-18 16:00:00,92
426,Codar app,saude,2025-01-18 17:00:00,65
427,Planejar semana,estudos,2025-01-18 18:00:00,56
428,Projeto pessoal,pessoal,2025-01-18 19:00:00,99
429,Codar app,pessoal,2025-01-18 20:00:00,112
430,Planejar semana,saude,2025-01-18 21:00:00,19
431,Revisar código,saude,2025-01-18 22:00:00,111
432,Academia,pessoal,2025-01-18 23:00:00,87
433,Estudar IA,estudos,2025-01-19 00:00:00,58
434,Academia,estudos,2025-01-19 01:00:00,50
435,Projeto pessoal,estudos,2025-01-19 02:00:00,92
436,Reunião,saude,2025-01-19 03:00:00,39
437,Estudar IA,profissional,2025-01-19 04:00:00,14
438,Limpar casa,profissional,2025-01-19 05:00:00,104
439,Revisar código,profissional,2025-01-19 06:00:00,80
440,Limpar casa,profissional,2025-01-19 07:00:00,92
441,Codar app,profissional,2025-01-19 08:00:00,40
442,Estudar IA,saude,2025-01-19 09:00:00,61
443,Limpar casa,saude,2025-01-19 10:00:00,112
444,Limpar casa,profissional,2025-01-19 11:00:00,97
445,Planejar semana,saude,2025-01-19 12:00:00,107
446,Academia,saude,2025-01-19 13:00:00,32
447,Planejar semana,profissional,2025-01-19 14:00:00,57
448,Estudar IA,estudos,2025-01-19 15:00:00,118
449,Estudar IA,saude,2025-01-19 16:00:00,49
450,Projeto pessoal,estudos,2025-01-19 17:00:00,15
451,Planejar semana,saude,2025-01-19 18:00:00,47
452,Escrever artigo,saude,2025-01-19 19:00:00,50
453,Academia,profissional,2025-01-19 20:00:00,109
454,Estudar IA,saude,2025-01-19 21:00:00,36
455,Projeto pessoal,pessoal,2025-01-19 22:00:00,84
456,Planejar semana,pessoal,2025-01-19 23:00:00,78
457,Academia,profissional,2025-01-20 00:00:00,66
458,Planejar semana,estudos,2025-01-20 01:00:00,26
459,Limpar casa,estudos,2025-01-20 02:00:00,80
460,Projeto pessoal,estudos,2025-01-20 03:00:00,100
461,Academia,pessoal,2025-01-20 04:00:00,56
